experiment,transform,hidden,layers,knn,lr,rmse_fold0,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,mean_rmse,std_rmse,pearson_fold0,pearson_fold1,pearson_fold2,pearson_fold3,pearson_fold4,mean_pearson,std_pearson
20260322_184511_australia_h16_l4_k5_lr0.001,log1p,16,4,5,0.001,4.458854675292969,4.433647155761719,4.704405784606934,4.883635520935059,4.519625663757324,4.600033760070801,0.17053150811275283,0.7234136462211609,0.6662891507148743,0.7047709822654724,0.7259608507156372,0.6395930051803589,0.6920055270195007,0.03379584371638525
20260322_184511_australia_h32_l2_k5_lr0.001,log1p,32,2,5,0.001,4.66541862487793,4.4209184646606445,6.087407112121582,4.696530818939209,4.577908039093018,4.889636611938476,0.6064798642718613,0.7153443694114685,0.6798959374427795,0.402587354183197,0.7263745069503784,0.6755500435829163,0.639950442314148,0.12029760844674496
20260322_184511_australia_h32_l4_k3_lr0.001,log1p,32,4,3,0.001,4.988455772399902,4.225026607513428,25.986675262451172,4.732594966888428,4.615825176239014,8.909715557098389,8.542025200848947,0.6808262467384338,0.6877908110618591,0.07290257513523102,0.702224850654602,0.6349955201148987,0.5557480007410049,0.24246864263041087
20260322_184511_australia_h32_l4_k5_lr0.001,log1p,32,4,5,0.001,4.553958415985107,4.4456610679626465,4.8895792961120605,4.760742664337158,4.505887985229492,4.631165885925293,0.1671138626042845,0.6963686943054199,0.6447604894638062,0.721917986869812,0.6891281604766846,0.6436178088188171,0.679158627986908,0.030562468793678004
20260322_184511_australia_h32_l4_k5_lr0.005,log1p,32,4,5,0.005,4.566457748413086,4.534796237945557,4.54826021194458,4.692161560058594,4.192737579345703,4.506882667541504,0.16676682122310355,0.7254777550697327,0.6561630368232727,0.7185366749763489,0.7142539024353027,0.6942121386528015,0.7017287015914917,0.025044499159604793
20260323_102847_australia_h32_l4_k8_lr0.001,log1p,32,4,8,0.001,4.867222309112549,4.690895080566406,4.975861072540283,4.785947799682617,4.536071300506592,4.771199512481689,0.1503717536411893,0.6295452117919922,0.5713627934455872,0.6313248872756958,0.6838831305503845,0.626092255115509,0.6284416556358338,0.03562809058402576
20260323_114619_australia_RAW_h32_l4_k5_lr0.005,RAW,32,4,5,0.005,4.063607692718506,4.146748065948486,4.478679180145264,3.94946026802063,3.883394241333008,4.104377889633179,0.20803467940639422,0.7567822933197021,0.7038084864616394,0.7099950909614563,0.766745924949646,0.7450905442237854,0.7364844679832458,0.025184236747534887
20260323_162833_australia_RAW_h16_l4_k5_lr0.001,RAW,16,4,5,0.001,4.06188440322876,3.965345621109009,4.718870639801025,4.02537202835083,3.9021434783935547,4.134723234176636,0.297076923242355,0.7574828267097473,0.7199039459228516,0.6768884658813477,0.7590564489364624,0.7412408590316772,0.7309145092964172,0.030477938344397895
20260323_162833_australia_RAW_h32_l4_k5_lr0.001,RAW,32,4,5,0.001,4.079570293426514,4.010526657104492,4.4887495040893555,4.0386247634887695,3.905024766921997,4.104499197006225,0.20061409533301622,0.7553770542144775,0.7131248116493225,0.7029303312301636,0.7584802508354187,0.7403132319450378,0.7340451359748841,0.02234817954692526
20260323_162928_australia_RAW_h32_l4_k3_lr0.001,RAW,32,4,3,0.001,3.9850144386291504,4.01106071472168,7.097117900848389,4.122557163238525,3.897258758544922,4.622601795196533,1.2393463795293356,0.7701257467269897,0.7106752991676331,0.453374445438385,0.7415359616279602,0.7417935729026794,0.6835010051727295,0.11659039516352965
20260323_162930_australia_RAW_h32_l2_k5_lr0.001,RAW,32,2,5,0.001,4.011184215545654,4.000955104827881,4.380648612976074,4.022098541259766,3.974865674972534,4.077950429916382,0.1521565625682081,0.765026867389679,0.7166422605514526,0.7151517868041992,0.7597056031227112,0.7289282083511353,0.7370909452438354,0.02125061951748526
